address,age,area,building,floor,floor_plan,name,rent
東京都杉並区和田１,築51年,20.82m,地下1地上8階建,8階,1K,富士見コーポ,6.2万円
東京都杉並区和田１,築21年,18m,4階建,4階,1K,東京メトロ丸ノ内線 中野富士見町駅 4階建 築21年,6.5万円
東京都杉並区和田１,築36年,17.25m,4階建,3階,1K,東京メトロ丸ノ内線 中野富士見町駅 4階建 築36年,6.3万円
東京都杉並区和田１,築36年,17.25m,4階建,3階,ワンルーム,サンフル中野富士見町,6.5万円
東京都杉並区堀ノ内２,築32年,20.18m,7階建,2階,1K,モナーク杉並堀ノ内,5.9万円
東京都杉並区和田１,築44年,21.9m,2階建,2階,1K,野口ハイツ,6.9万円
東京都中野区本町６,築34年,17.3m,9階建,6階,1K,東京メトロ丸ノ内線 東高円寺駅 9階建 築34年,5.7万円
東京都杉並区方南２,築29年,17.28m,6階建,3階,ワンルーム,ライオンズマンション方南町第２,5.8万円
東京都中野区本町６,築34年,16.77m,10階建,8階,ワンルーム,ライオンズマンション新中野第２,5.4万円
東京都杉並区和田１,築27年,17m,4階建,2階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 4階建 築27年,6.5万円
東京都杉並区和田３,築29年,16.24m,6階建,3階,ワンルーム,ダイホープラザ東高円寺,5.5万円
東京都中野区弥生町５,築42年,13.18m,3階建,2階,ワンルーム,メゾン・ド・富士見町,4.6万円
東京都杉並区和田１,築31年,16.32m,4階建,2階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 4階建 築31年,5.1万円
東京都杉並区高円寺南１,築42年,19.53m,10階建,7階,ワンルーム,YAハイツ高円寺,5.68万円
東京都中野区弥生町４,築3年,15.31m,3階建,3階,1K,東京メトロ丸ノ内線 中野富士見町駅 3階建 築3年,7万円
東京都杉並区和田２,築41年,13.39m,3階建,3階,ワンルーム,メゾン・ド・スサーナ,4.5万円
東京都杉並区和田１,築37年,25m,5階建,3階,1K,いづみハイツ,6.7万円
東京都杉並区和田２,築29年,20.82m,3階建,3階,1K,東京メトロ丸ノ内線 東高円寺駅 3階建 築29年,6.4万円
東京都杉並区和田３,築17年,16.82m,4階建,2階,ワンルーム,エシール高円寺,6.2万円
東京都中野区本町６,築24年,21.92m,13階建,2階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 13階建 築24年,6.5万円
